log_id,transaction_date,raw_query_text,amount,final_tag,final_icon
LOG_1499,2025-12-04,transfer to saving ref #4950,44.69,Banking,🏦
LOG_1450,2025-12-04,disney+ subscription fee,481.53,Local POS & Retail,🏪
LOG_1139,2025-12-04,paypal *ebay purchase ref #2595,383.96,E-Commerce & ACH,💳
LOG_1256,2025-12-04,Netflix monthly charge,131.06,Subscriptions,📺
LOG_1084,2025-12-04,hulu no ads,105.15,Subscriptions,📺
LOG_1410,2025-12-04,uber eats delivery ref #6404,198.21,Dining,🍔
LOG_1047,2025-12-04,chase credit card auto-pay ref #5021,237.39,Banking,🏦
LOG_1360,2025-12-04,starbucks coffee,97.61,Dining,🍔
LOG_1395,2025-12-04,hulu no ads,487.49,Subscriptions,📺
LOG_1194,2025-12-04,conedison power ref #3202,141.48,Utilities,⚡️
LOG_1384,2025-12-05,ach web payment random stuff,477.55,E-Commerce & ACH,💳
LOG_1006,2025-12-05,whole foods market ref #7839,178.22,Dining,🍔
LOG_1343,2025-12-05,starbucks coffee,150.57,Dining,🍔
LOG_1341,2025-12-05,conedison power ref #6013,87.29,Utilities,⚡️
LOG_1489,2025-12-05,trader joes grocery ref #5917,80.78,Dining,🍔
LOG_1326,2025-12-05,comcast internet bill,482.65,Utilities,⚡️
LOG_1320,2025-12-05,trader joes grocery ref #1855,420.47,Dining,🍔
LOG_1098,2025-12-05,wire transfer fee,393.23,Banking,🏦
LOG_1273,2025-12-05,uber eats delivery,309.6,Dining,🍔
LOG_1429,2025-12-05,starbucks coffee,405.55,Dining,🍔
LOG_1026,2025-12-05,whole foods market,94.58,Dining,🍔
LOG_1134,2025-12-05,ach web payment random stuff ref #1345,494.0,E-Commerce & ACH,💳
LOG_1052,2025-12-05,whole foods market,22.36,Dining,🍔
LOG_1210,2025-12-05,Spotify premium plan,462.18,Subscriptions,📺
LOG_1243,2025-12-05,POS DEBIT 12/24/2025 terminal 482 ref #5198,278.0,E-Commerce & ACH,💳
LOG_1016,2025-12-06,starbucks coffee,45.16,Dining,🍔
LOG_1337,2025-12-06,uber eats delivery,267.68,Dining,🍔
LOG_1339,2025-12-06,disney+ subscription fee ref #3661,475.33,Local POS & Retail,🏪
LOG_1475,2025-12-06,whole foods market ref #2558,435.09,Dining,🍔
LOG_1207,2025-12-06,disney+ subscription fee,377.84,Local POS & Retail,🏪
LOG_1321,2025-12-06,wire transfer fee,396.43,Banking,🏦
